,maid,longitude,latitude,horizontal_accuracy,city_hasc,postcode,Date,Hour,count,Y,Color
658194,79679bc4a1d3a388fb7926946188a60c40562bdc,128.235936,-3.627887,3.0,ID.MA.AM,97216.0,16-06-21,00:17:03,241,1.0,green
42700,1a724c5ffdb1413548eeda9c345694466c96fd3b,128.27298,-3.20721,9.0,ID.MA.SB,97564.0,16-06-21,00:17:15,179,0.999,green
42701,1a724c5ffdb1413548eeda9c345694466c96fd3b,128.272981,-3.207207,9.0,ID.MA.SB,97564.0,16-06-21,00:17:20,179,0.999,green
137833,42e2952a0280336eaed618f9ad4171cbb8d5ad81,128.186433,-3.687542,8.0,ID.MA.AM,97123.0,16-06-21,00:17:26,3252,1.0,green
167740,2e11f08c2a0bf2cc5c0f3637174f7b8584158b3f,128.25613,-3.62162,6.0,ID.MA.AM,97214.0,16-06-21,00:17:34,148,1.0,green
167741,2e11f08c2a0bf2cc5c0f3637174f7b8584158b3f,128.25613,-3.62164,4.0,ID.MA.AM,97214.0,16-06-21,00:17:43,148,0.999,green
658195,79679bc4a1d3a388fb7926946188a60c40562bdc,128.23593,-3.62789,4.0,ID.MA.AM,97216.0,16-06-21,00:17:52,241,1.0,green
3134,c4b84290951f9b705673694d5b73cc7130b9d539,129.928327,-2.981954,16.0,ID.MA.MT,97544.0,16-06-21,00:18:28,459,1.0,green
564883,6bdc09d2bd1b7c719fab13f10b1bbda23de8ebb6,128.341319,-3.585585,7.0,,,16-06-21,00:18:30,71,0.999,green
54867,0ed6cba4475d3c353164c4f4f32a6dbc12968d23,128.22676,-3.684398,8.0,ID.MA.AM,97128.0,16-06-21,00:18:32,372,1.0,green
54868,0ed6cba4475d3c353164c4f4f32a6dbc12968d23,128.22676,-3.6844,8.0,ID.MA.AM,97128.0,16-06-21,00:18:41,372,1.0,green
641958,84b10d9917c01ee2d60da31c6f877cfb1c985980,128.16228,-3.70489,5.0,ID.MA.AM,97117.0,16-06-21,00:18:42,4,0.999,green
564884,6bdc09d2bd1b7c719fab13f10b1bbda23de8ebb6,128.34131,-3.58559,7.0,,,16-06-21,00:18:45,71,1.0,green
397941,09559e0ef6aefa74f53ef362129668b7b732775f,128.197305,-3.639054,5.0,ID.MA.AM,97222.0,16-06-21,00:19:06,36,0.999,green
664334,9c4a9fdbf27be919d18fb91e62d7378d38924cf7,129.032238,-3.259212,6.0,ID.MA.MT,97544.0,16-06-21,00:19:11,1,0.999,green
664335,e99d200d7c9f462087b8c928456ad4f7e87c7f56,130.46566,-3.0798,3.0,ID.MA.ST,97585.0,16-06-21,00:19:13,30,1.0,green
664336,e99d200d7c9f462087b8c928456ad4f7e87c7f56,130.46567,-3.0798,11.0,ID.MA.ST,97585.0,16-06-21,00:19:14,30,0.999,green
83076,11f9051b9ed7b3d9efdb761f43c255b7efce72a7,128.19422,-3.6937,8.0,ID.MA.AM,97121.0,16-06-21,00:19:18,183,1.0,green
83077,11f9051b9ed7b3d9efdb761f43c255b7efce72a7,128.194223,-3.693693,12.0,ID.MA.AM,97121.0,16-06-21,00:19:19,183,0.999,green
664337,e99d200d7c9f462087b8c928456ad4f7e87c7f56,130.46568,-3.0798,11.0,ID.MA.ST,97585.0,16-06-21,00:19:23,30,1.0,green
664338,e99d200d7c9f462087b8c928456ad4f7e87c7f56,130.46567,-3.0798,3.0,ID.MA.ST,97585.0,16-06-21,00:19:24,30,0.999,green
156688,4ba37ff33960043064a5e56dca8e31b3f3bed97b,128.188823,-3.693785,10.0,ID.MA.AM,97121.0,16-06-21,00:19:27,278,0.999,green
664365,aac6733c92747306a62df8891784fd501f193685,128.204255,-3.692768,8.0,ID.MA.AM,97129.0,16-06-21,00:19:28,1,0.999,green
664368,7cef611f2d3c0f64ca2da5f4cfdb1b59def047dd,128.086271,-3.590128,6.0,ID.MA.MT,97543.0,16-06-21,00:19:47,1,0.999,green
149584,f6efc10cb20976ab6e111fd8a2b1f2ddaa8c4fc4,128.524391,-3.603603,11.0,ID.MA.MT,97545.0,16-06-21,00:19:52,158,1.0,green
147203,4a6ccf8c8980fafbc075b5a9aeac0768b1cd4f11,128.19161,-3.67569,12.0,ID.MA.AM,97129.0,16-06-21,00:20:05,196,0.999,green
42702,1a724c5ffdb1413548eeda9c345694466c96fd3b,128.272981,-3.207207,10.0,ID.MA.SB,97564.0,16-06-21,00:20:21,179,1.0,green
258420,fb7df9d9e2b8f58bb7d000458b3d49ad96b7e859,128.339006,-3.59168,11.0,ID.MA.MT,97544.0,16-06-21,00:20:26,9,1.0,green
91292,ec3518ed3c5deeeef8c1349a18ae6c847876bfdc,128.19343,-3.64885,98.4,ID.MA.AM,97222.0,16-06-21,00:20:41,661,0.999,green
147204,4a6ccf8c8980fafbc075b5a9aeac0768b1cd4f11,128.19162,-3.675675,12.0,ID.MA.AM,97129.0,16-06-21,00:20:50,196,1.0,green
3135,c4b84290951f9b705673694d5b73cc7130b9d539,129.92831,-2.98197,16.0,ID.MA.MT,97544.0,16-06-21,00:21:03,459,0.999,green
258550,665b4b4395807aadf47a513d5000bb662e7fe916,128.1776,-3.6902,11.0,,,16-06-21,00:21:11,6,0.999,green
664105,e03abce86afd851437b9860165062725bcb9cb0a,130.498069,-3.104974,12.0,ID.MA.ST,97585.0,16-06-21,00:21:18,7,0.999,green
664371,cbb8daf81325cdc5aacf256e3bb61bfc38c06204,128.715125,-3.603416,12.0,ID.MA.MT,97546.0,16-06-21,00:21:20,2,1.0,green
664372,cbb8daf81325cdc5aacf256e3bb61bfc38c06204,128.715125,-3.603416,8.0,ID.MA.MT,97546.0,16-06-21,00:21:22,2,1.0,green
258551,665b4b4395807aadf47a513d5000bb662e7fe916,128.1776,-3.6902,11.0,,,16-06-21,00:21:22,6,1.0,green
3136,c4b84290951f9b705673694d5b73cc7130b9d539,129.928327,-2.981954,5.0,ID.MA.MT,97544.0,16-06-21,00:21:30,459,0.999,green
