,maid,longitude,latitude,horizontal_accuracy,city_hasc,postcode,Date,Hour,count,Y,Color
163,4e1a7bffa824a38e5e01bc544bfa879acf721666,128.17779,-3.58489,18.0,ID.MA.MT,97543.0,16-06-21,15:07:27,1386,1.0,green
164,4abc0f2389bbeb17e9ffca9e23fda63f53a5890f,128.204528,-3.639639,9.0,,,16-06-21,15:07:30,221,1.0,green
165,66e2a568d03e3faccce300fcef5555d1094b5924,128.18503,-3.70306,6.0,ID.MA.AM,97129.0,16-06-21,15:07:31,435,0.999,green
166,2b16a9284034b61aac92926f178fde7dde5da3d3,128.35616,-3.328756,13.0,ID.MA.SB,97566.0,16-06-21,15:07:31,1411,1.0,green
167,72ec39899bbea3e96dcee7fb32c3bd8017618628,128.13849,-3.772472,10.0,ID.MA.AM,97117.0,16-06-21,15:07:33,2,1.0,green
168,66e2a568d03e3faccce300fcef5555d1094b5924,128.185025,-3.70306,4.0,ID.MA.AM,97129.0,16-06-21,15:07:33,435,1.0,green
169,62e6d686110ce98854155643f7930d4769deefac,128.952585,-3.311795,6.0,ID.MA.MT,97544.0,16-06-21,15:07:40,1,1.0,green
170,d22121e8d64516109c4038112495a59393fc9569,128.36131,-3.333333,10.0,ID.MA.SB,97566.0,16-06-21,15:07:51,12,1.0,green
171,09d651945a48923383fd4b64c0f91acf4a6b7684,128.19029,-3.68704,7.0,ID.MA.AM,97122.0,16-06-21,15:07:54,2666,0.999,green
172,db0858c6a600514ea2a8cb23b7a780fc7c02e612,128.172991,-3.585701,11.0,ID.MA.MT,97543.0,16-06-21,15:08:01,22,0.999,green
173,2b16a9284034b61aac92926f178fde7dde5da3d3,128.35616,-3.328756,6.0,ID.MA.SB,97566.0,16-06-21,15:08:06,1411,1.0,green
174,66e2a568d03e3faccce300fcef5555d1094b5924,128.18503,-3.70306,15.0,ID.MA.AM,97129.0,16-06-21,15:08:07,435,0.999,green
175,2b16a9284034b61aac92926f178fde7dde5da3d3,128.35616,-3.328756,7.0,ID.MA.SB,97566.0,16-06-21,15:08:11,1411,0.999,green
176,db917af1f3c18c5ec80f99ad61ca28d5b8e3c81d,128.34307,-3.51127,10.0,ID.MA.MT,97544.0,16-06-21,15:08:13,30,1.0,green
