,maid,longitude,latitude,horizontal_accuracy,city_hasc,postcode,Date,Hour,count,Y,Color,Magnitude,Depth
123,606ec54a05ddf2ddc9637ac8a68ad368b1552e84,128.182646,-3.698941,10.0,ID.MA.AM,97127.0,16-06-21,13:46:58,299,0.999,green,-,-
124,2e764a051749d1352ce01bd021f32eb1dca29349,128.187182,-3.699468,6.0,ID.MA.AM,97125.0,16-06-21,13:47:06,4,0.999,green,-,-
125,86fe9f650a157c7b9e22ba4ef24bfb056914bd7b,128.219053,-3.69034,9.0,ID.MA.AM,97128.0,16-06-21,13:47:07,60,1.0,green,-,-
126,a6e20a3f9cb183cfc549208e8011b7a41e9049b5,129.020825,-3.352706,9.0,ID.MA.MT,97544.0,16-06-21,13:47:12,2,0.999,green,-,-
127,ec54f19988f7408f0e181d021c7cf05ba148b03d,128.186473,-3.639639,8.0,ID.MA.AM,97223.0,16-06-21,13:47:13,237,1.0,green,-,-
128,ca43f19e292907cf89069c19a78134d21f653ae1,128.168487,-3.709103,5.0,ID.MA.AM,97116.0,16-06-21,13:47:13,21,0.999,green,-,-
129,c188d30eecb4de343d84e9f360293b901e58819c,130.452341,-3.063014,3.0,ID.MA.ST,97585.0,16-06-21,13:47:15,156,1.0,green,-,-
130,3c11537bee4b0b43259dd1a0cbb592e3bfa2baea,128.209825,-3.723811,20.0,ID.MA.AM,97135.0,16-06-21,13:47:16,2,0.999,green,-,-
131,2579b5d4ca0ac56f53aeeaef31b407fc38e60802,130.458852,-3.081081,4.0,ID.MA.ST,97585.0,16-06-21,13:47:19,122,0.999,green,-,-
132,2579b5d4ca0ac56f53aeeaef31b407fc38e60802,130.45885,-3.08109,7.0,ID.MA.ST,97585.0,16-06-21,13:47:20,122,0.999,green,-,-
133,07961b59d8105b54dec71a509fa5a5fb0226f03e,130.081176,-3.042503,11.0,ID.MA.MT,97544.0,16-06-21,13:47:23,2,0.999,green,-,-
134,2579b5d4ca0ac56f53aeeaef31b407fc38e60802,130.458852,-3.081081,8.0,ID.MA.ST,97585.0,16-06-21,13:47:24,122,1.0,green,-,-
135,7b8a1d69efb860cdfd946472958c47e95a5eee57,128.19423,-3.693693,3.0,ID.MA.AM,97121.0,16-06-21,13:47:26,2,0.999,green,-,-
136,07961b59d8105b54dec71a509fa5a5fb0226f03e,130.081176,-3.042503,28.0,ID.MA.MT,97544.0,16-06-21,13:47:26,2,1.0,green,-,-
137,92492d4224260690621fcfd389622504cb5c1e16,130.46889,-3.08953,7.0,ID.MA.ST,97585.0,16-06-21,13:47:28,30,0.999,green,-,-
138,482bf06515cd1f4d6802afe96346548999799c9c,128.224609,-3.656669,15.0,ID.MA.AM,97212.0,16-06-21,13:47:33,3,0.999,green,-,-
139,606ec54a05ddf2ddc9637ac8a68ad368b1552e84,128.18264,-3.69895,11.0,ID.MA.AM,97127.0,16-06-21,13:47:36,299,0.999,green,-,-
140,169b6778921f4b45014e2694fb34c0509e681a4a,128.650711,-3.572579,13.0,ID.MA.MT,97546.0,16-06-21,13:47:38,2,0.999,green,-,-
141,2e214618c35da5a5cf8802c93994ca509d5916b9,128.32326,-3.58559,10.0,ID.MA.MT,97544.0,16-06-21,13:47:38,459,1.0,green,-,-
142,7e48388822503632702e9c24aec56e9a72530e28,128.96301,-3.307005,5.0,ID.MA.MT,97544.0,16-06-21,13:47:46,6,0.999,green,-,-
143,86fe9f650a157c7b9e22ba4ef24bfb056914bd7b,128.21905,-3.69034,5.0,ID.MA.AM,97128.0,16-06-21,13:47:46,60,1.0,green,-,-
144,7e48388822503632702e9c24aec56e9a72530e28,128.963011,-3.307005,12.0,ID.MA.MT,97544.0,16-06-21,13:47:49,6,1.0,green,-,-
145,3de9ed79527b20a5bbc222e9a6ea74bbd0aeb536,128.1574,-3.70599,10.0,ID.MA.AM,97117.0,16-06-21,13:47:54,14,1.0,green,-,-
146,86fe9f650a157c7b9e22ba4ef24bfb056914bd7b,128.21905,-3.69033,9.0,ID.MA.AM,97128.0,16-06-21,13:47:57,60,0.999,green,-,-
147,14e34af16f67110347a6ba904b1f87c7090c0517,128.219856,-3.622793,11.0,ID.MA.AM,97217.0,16-06-21,13:47:59,19,1.0,green,-,-
148,e5372e3383afba5a746ad17bee18b1111dd4f445,128.191627,-3.675675,16.0,ID.MA.AM,97129.0,16-06-21,13:48:02,97,1.0,green,-,-
149,23cf5ed01833a776b95ab49fd34216c4d812ba2a,128.274186,-3.621621,8.0,,,16-06-21,13:48:05,177,0.999,green,-,-
150,7e48388822503632702e9c24aec56e9a72530e28,128.963011,-3.307005,2.0,ID.MA.MT,97544.0,16-06-21,13:48:07,6,0.999,green,-,-
151,606ec54a05ddf2ddc9637ac8a68ad368b1552e84,128.182646,-3.698941,10.0,ID.MA.AM,97127.0,16-06-21,13:48:10,299,0.999,green,-,-
152,96c02d000207858ed3f4ed7728c31f4f49f89172,128.194223,-3.693693,11.0,ID.MA.AM,97121.0,16-06-21,13:48:13,331,0.999,green,-,-
153,18decd77e6e11d22d56f18c0e883f483c76a1225,128.310479,-3.640872,22.0,,,16-06-21,13:48:13,23,0.999,green,-,-
154,b9caf40b27f6443660c0c94e27f7385770008457,128.24771,-3.64426,12.0,ID.MA.AM,97211.0,16-06-21,13:48:18,9,1.0,green,-,-
155,ae9d8bc38392c4d2f533272850baef39c16eb7ae,130.486892,-3.1045,12.0,ID.MA.ST,97585.0,16-06-21,13:48:22,2,1.0,green,-,-
156,93bf81b5b6074bc8438359a8e6614a6aac1e8e2c,128.175516,-3.701437,15.0,ID.MA.AM,97112.0,16-06-21,13:48:22,241,0.999,green,-,-
157,93bf81b5b6074bc8438359a8e6614a6aac1e8e2c,128.175516,-3.701437,9.0,ID.MA.AM,97112.0,16-06-21,13:48:23,241,0.999,green,-,-
158,8bd964c7033127cc9e931f61523d40d6e2e5e3c0,128.22462,-3.682997,11.0,ID.MA.AM,97128.0,16-06-21,13:48:23,1,0.999,green,-,-
159,ae9d8bc38392c4d2f533272850baef39c16eb7ae,130.486892,-3.1045,10.0,ID.MA.ST,97585.0,16-06-21,13:48:23,2,0.999,green,-,-
160,ca43f19e292907cf89069c19a78134d21f653ae1,128.16848,-3.70911,7.0,ID.MA.AM,97116.0,16-06-21,13:48:23,21,1.0,green,-,-
161,86fe9f650a157c7b9e22ba4ef24bfb056914bd7b,128.219053,-3.69034,4.0,ID.MA.AM,97128.0,16-06-21,13:48:25,60,1.0,green,-,-
162,9a407a09aef8721ff1ef89a4807557103168614b,128.193778,-3.649484,9.0,ID.MA.AM,97222.0,16-06-21,13:48:28,6,1.0,green,-,-
163,4abc0f2389bbeb17e9ffca9e23fda63f53a5890f,128.204528,-3.639639,9.0,,,16-06-21,13:48:28,221,0.999,green,-,-
164,2fe71f44c9a526dd34a4c5873b72760205a809cc,128.18323,-3.689169,11.0,ID.MA.AM,97123.0,16-06-21,13:48:28,283,1.0,green,-,-
165,482bf06515cd1f4d6802afe96346548999799c9c,128.224609,-3.656669,9.0,ID.MA.AM,97212.0,16-06-21,13:48:29,3,1.0,green,-,-
166,f11cf36ebaaf268aa057316215a0979e3cb17fd2,128.18904,-3.65766,11.0,ID.MA.AM,97223.0,16-06-21,13:48:29,396,0.999,green,-,-
